Link,Title
https://www.fool.com/investing/2020/09/08/why-docusign-and-zoom-video-stocks-sank-today-but/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why DocuSign and Zoom Video Stocks Sank Today -- but CrowdStrike Bounced
https://finance.yahoo.com/news/heres-much-investing-1-000-170044822.html,"Here's How Much Investing $1,000 In The 2018 DocuSign IPO Would Be Worth Today"
https://www.investopedia.com/docusign-docu-could-sell-off-into-the-140s-5077113?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral&yptr=yahoo,DocuSign (DOCU) Could Sell Off Into the $140s
https://finance.yahoo.com/news/docusign-inc-nasdaq-docu-reported-102813203.html,"DocuSign, Inc. (NASDAQ:DOCU) Reported Earnings Last Week And Analysts Are Already Upgrading Their Estimates"
https://finance.yahoo.com/news/docusign-slumps-despite-impressive-earnings-065942212.html,DocuSign Slumps Despite Impressive Earnings Beat
https://www.fool.com/investing/2020/09/05/3-top-artificial-intelligence-stocks-to-buy-right/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,3 Top Artificial Intelligence Stocks to Buy Right Now
https://www.barrons.com/articles/docusign-stock-tumbles-despite-strong-earnings-as-investors-get-queasy-on-valuation-51599246055?siteid=yhoof2&yptr=yahoo,DocuSign Stock Tumbles Despite Strong Earnings as Investors Get Queasy on Valuation
https://realmoney.thestreet.com/investing/stocks/time-to-sign-off-on-docusign-15418689?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,Time to Sign Off of DocuSign
https://finance.yahoo.com/news/docusign-delivers-big-beat-raise-174015529.html,"DocuSign Delivers Big Beat And Raise On COVID-Related Momentum, BofA Says"
https://www.thestreet.com/investing/docusign-docu-domo-broadcom-avgo-paypal-pypl-tech-movers?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,"DocuSign, Domo, NCino: Midday Tech Stock Movers"
https://www.investors.com/market-trend/stock-market-today/dow-jones-stock-market-rally-jobs-report-apple-tesla-amazon-netflix-zoom-video-docusign/?src=A00220&yptr=yahoo,"Dow Jones Dives 600 Points After Jobs Report, As Nasdaq Sells Off 4%; Apple Cuts Losses, While Tesla Reverses Higher"
https://finance.yahoo.com/news/docu-sign-ceo-why-im-not-losing-sleep-over-my-volatile-stock-price-171457968.html,DocuSign CEO: Why I'm not losing sleep over our volatile stock price
https://finance.yahoo.com/news/is-a-new-stock-market-panic-setting-in-165736568.html,Is a new stock market panic setting in?
https://finance.yahoo.com/video/stocks-move-docusign-beats-estimates-164621971.html,"Stocks on the Move: Docusign beats estimates in Q2 earnings report, Wayfair gets downgrade by BOA Securities"
https://www.thestreet.com/investing/docusign-docu-stock-earnings-trading-charts?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,Buy the Dip in DocuSign? Let's Look at the Charts
https://www.fool.com/investing/2020/09/04/why-crowdstrike-docusign-and-zoom-video-stocks-are/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"Why CrowdStrike, DocuSign, and Zoom Video Stocks Are Crashing Despite Terrific Earnings"
https://finance.yahoo.com/video/docusign-beats-estimates-ceo-says-145248194.html,"DocuSign beats estimates, CEO says he's 'bullish' that digital is the future and 'people are not going back' to paper"
https://www.investors.com/market-trend/stock-market-today/dow-jones-today-jobs-report-stock-market-rally/?src=A00220&yptr=yahoo,Dow Jones Today: Nasdaq Falls Sharply Following August Jobs Report After Stock Market Rally Rout
https://finance.yahoo.com/video/docusign-broadcom-beat-estimates-latest-140000886.html,"Docusign, Broadcom beat estimates in their latest quarterly reports"
https://finance.yahoo.com/news/analyzing-docusigns-unusual-options-activity-133703319.html,Analyzing DocuSign's Unusual Options Activity
https://www.thestreet.com/investing/docusign-docu-stock-analysts-second-quarter-earnings?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,DocuSign Analysts Mostly Bullish Following Earnings
https://www.investors.com/etfs-and-funds/mutual-funds/best-mutual-funds-buying-tech-stocks-including-amazon-zoom-nvidia-microsoft-alibaba-facebook/?src=A00220&yptr=yahoo,"See Which Tech Titans, IPO Stocks The Best Mutual Funds Are Buying"
https://www.thestreet.com/markets/5-things-you-must-know-before-the-market-opens-friday-090420?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,"Dow Futures, Jobs, DocuSign, Google - 5 Things You Must Know Friday"
https://www.fool.com/earnings/call-transcripts/2020/09/04/docusign-docu-q2-2021-earnings-call-transcript/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,DocuSign (DOCU) Q2 2021 Earnings Call Transcript
https://finance.yahoo.com/news/docusign-sinks-9-despite-very-034307478.html,DocuSign Sinks 9% Despite ‘Very Strong’ F2Q21; Street Stays Bullish
https://www.marketwatch.com/story/docusign-stock-gains-after-digital-rush-drives-upbeat-earnings-outlook-2020-09-03?siteid=yhoof2&yptr=yahoo,DocuSign beats on earnings amid remote-work boom but stock falls in late trading
https://www.investors.com/news/technology/docusign-earnings-docusign-stock-docu-q2020/?src=A00220&yptr=yahoo,"DocuSign Earnings Top Estimates, Revenue Outlook Above Expectations"
https://finance.yahoo.com/news/docusign-docu-surpasses-q2-earnings-212509893.html,DocuSign (DOCU) Surpasses Q2 Earnings and Revenue Estimates
https://finance.yahoo.com/news/docusign-projects-sales-top-estimates-205430172.html,DocuSign Projects Sales That Top Estimates on Remote-Work Demand
https://www.barrons.com/articles/docusign-posts-better-than-expected-earnings-raises-outlook-51599165984?siteid=yhoof2&yptr=yahoo,"DocuSign Posts Better-Than-Expected Earnings, Raises Full-Year Outlook"
https://www.thestreet.com/investing/docusign-shares-active-on-second-quarter-earnings-beat?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,DocuSign Shares Active on Second-Quarter Earnings Beat
https://finance.yahoo.com/news/docusign-reports-q2-earnings-beat-201838327.html,"DocuSign Reports Q2 Earnings Beat, Subscription Revenue $323.6M"
https://finance.yahoo.com/news/docusign-promotes-sheridan-lead-international-200700136.html,DocuSign promotes Sheridan to lead international and welcomes Gaylor as new CFO
https://finance.yahoo.com/news/docusign-announces-second-quarter-fiscal-200500877.html,DocuSign Announces Second Quarter Fiscal 2021 Financial Results
https://www.thestreet.com/investing/zuora-pagerduty-docusign-midday-tech-stock-movers?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,"Zuora, PagerDuty, DocuSign: Midday Tech Stock Movers"
https://finance.yahoo.com/news/coronavirus-will-you-ever-return-to-the-office-for-work-180833884.html,Coronavirus: Will you ever return to the office for work?
https://www.fool.com/investing/2020/09/03/why-docusign-slack-technologies-and-square-stocks/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"Why DocuSign, Slack Technologies, and Square Stocks Are All Falling Today"
https://finance.yahoo.com/news/docusign-promising-earnings-no-match-124406417.html,DocuSign’s Promising Earnings No Match for Sinking Tech Market
https://finance.yahoo.com/video/premium-trading-volatile-markets-during-115053044.html,PREMIUM: Trading volatile markets during prime time 'crash season' — webinar with Joe Fahmy
https://finance.yahoo.com/news/5-top-stock-trades-thursday-210008506.html,"5 Top Stock Trades for Thursday: PTON, DOCU, MDB, SDC, AMRN"
https://www.fool.com/investing/2020/09/02/why-docusign-stock-popped-this-morning/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why DocuSign Stock Popped This Morning
https://finance.yahoo.com/news/could-docusign-crowdstrike-zooms-earnings-144208731.html,Could DocuSign And CrowdStrike Follow Zoom's Earnings Footsteps?
https://finance.yahoo.com/news/docusign-earnings-preview-142425221.html,DocuSign Earnings Preview
https://www.barrons.com/articles/investors-hunt-for-next-zoom-here-are-8-candidates-earnings-software-cloud-pandemic-51598982853?siteid=yhoof2&yptr=yahoo,Investors Are on the Hunt for the Next Zoom. Here Are 8 Candidates.
https://finance.yahoo.com/news/why-docusign-fastly-roku-stocks-173000981.html,"Why DocuSign, Fastly, and Roku Stocks Jumped on Tuesday"
https://www.thestreet.com/investing/zoom-docusign-pagerduty-midday-tech-stock-movers-tuesday?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,"Zoom, DocuSign, PagerDuty: Midday Tech Stock Movers"
